20180826,增城,凤凰城,翡翠绿洲湖翠苑,4室0厅,245平米,2000
20180826,增城,凤凰城,翡翠绿洲育才阳光苑,3室2厅,130平米,2600
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,100平米,2800
20180826,增城,凤凰城,东凌广场,1室1厅,43平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,1800
20180826,增城,凤凰城,翡翠绿洲湖绣苑,2室1厅,96平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,2室2厅,78平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤岭苑,3室2厅,121平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤岭苑,3室2厅,122平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,2室2厅,97平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,121平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,3室2厅,115平米,2700
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,88平米,2100
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,94平米,3500
20180826,增城,凤凰城,合生湖山国际,3室2厅,90平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,123平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,105平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤仪苑,3室2厅,93平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,105平米,2800
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,93平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤凰岛,2室2厅,105平米,3300
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,107平米,3500
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,93平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,99平米,2700
20180826,增城,凤凰城,碧桂园凤凰城凤天苑,3室2厅,135平米,3000
20180826,增城,凤凰城,翡翠绿洲湖滨苑,2室2厅,95平米,2299.95
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,98平米,2900
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,123平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤天苑,3室2厅,106平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,100平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,122平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,101平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,95平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤天苑,3室2厅,107平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,107平米,2400
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,4室2厅,134平米,4000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,100平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,96平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,122平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,99平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,94平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室1厅,104平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,92平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,4室1厅,135平米,3199.5
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,122平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤天苑,3室2厅,106平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤盈苑,4室2厅,142平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,100平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,2室2厅,80平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2600.28
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,96平米,2400
20180826,增城,凤凰城,碧桂园凤凰城凤林苑,5室3厅,566平米,5000
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,94平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤仪苑,3室2厅,99平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,122平米,3400
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,92平米,2199.72
20180826,增城,凤凰城,碧桂园凤凰城凤仪苑,4室2厅,137平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,135平米,4200
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,99平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,135平米,3800
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,97平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,135平米,4000
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,122平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,92平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,98平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,98平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,95平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,86平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,95平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,104平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2000.43
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,118平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,122平米,4200
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,85平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,99平米,2100
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,105平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2400
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室1厅,95平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤天苑,3室2厅,107平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,104平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2000.43
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,118平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,122平米,4200
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,85平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,99平米,2100
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,98平米,2100
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室1厅,104平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,92平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,4室1厅,135平米,3199.5
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,122平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤天苑,3室2厅,106平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤盈苑,4室2厅,142平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,100平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,2室2厅,80平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2600.28
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,98平米,2600
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,95平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,98平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2100
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,99平米,2900
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2400
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2200
20180826,增城,凤凰城,翡翠绿洲湖绣苑,3室2厅,129平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,98平米,2100
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,4室2厅,140平米,4000
20180826,增城,凤凰城,碧桂园凤凰城凤仪苑,3室2厅,100平米,2500
20180826,增城,凤凰城,翡翠绿洲湖绣苑,2室2厅,90平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,1室1厅,47平米,1600
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,4室2厅,143平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,2室2厅,80平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,100平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤盈苑,5室3厅,240平米,6500
20180826,增城,凤凰城,东凌广场,3室2厅,100平米,1000
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,99平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,93平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,3800
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,122平米,3200
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,100平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,2室2厅,103平米,3000
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,94平米,2300
20180826,增城,凤凰城,翡翠绿洲育才阳光苑,3室2厅,95平米,2200
20180826,增城,凤凰城,翡翠绿洲育才阳光苑,2室2厅,91平米,2300
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,87平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,1室1厅,57平米,1800
20180826,增城,凤凰城,合生湖山国际,4室2厅,158平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,2室2厅,80平米,1700
20180826,增城,凤凰城,翡翠绿洲森林半岛,3室2厅,116平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤泉苑,4室1厅,160平米,4500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,1室1厅,54平米,1700
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,2600
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,2室2厅,103平米,3300
20180826,增城,凤凰城,碧桂园凤凰城凤天苑,4室2厅,135平米,3500
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,87平米,2000
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,87平米,800.31
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,2室2厅,80平米,2200
20180826,增城,凤凰城,东凌广场,2室2厅,76平米,2000
20180826,增城,凤凰城,翡翠绿洲湖绣苑,3室2厅,136平米,3600
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,92平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,98平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,98平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,95平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,86平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,95平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,105平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2400
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室1厅,95平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2700
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,98平米,2900
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,123平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤天苑,3室2厅,106平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,100平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,122平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,101平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,95平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,135平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,1500
20180826,增城,凤凰城,翡翠绿洲湖绣苑,3室2厅,136平米,3600
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,100平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,99平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,1室1厅,52平米,1700
20180826,增城,凤凰城,东凌广场,3室2厅,100平米,1000
20180826,增城,凤凰城,碧桂园凤凰城凤仪苑,3室2厅,100平米,2500
20180826,增城,凤凰城,翡翠绿洲湖绣苑,2室2厅,90平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,1室1厅,47平米,1600
20180826,增城,凤凰城,翡翠绿洲森林半岛,3室2厅,116平米,3000
20180826,增城,凤凰城,碧桂园凤凰城凤泉苑,4室1厅,160平米,4500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,1室1厅,54平米,1700
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,2600
20180826,增城,凤凰城,合生湖山国际,3室2厅,90平米,1800
20180826,增城,凤凰城,合生湖山国际,4室3厅,292平米,4500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,2室2厅,88平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,4室2厅,140平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,1室1厅,52平米,1800
20180826,增城,凤凰城,翡翠绿洲克拉邻里,2室2厅,88平米,2200
20180826,增城,凤凰城,东凌广场,1室1厅,50平米,1600
20180826,增城,凤凰城,碧桂园凤凰城凤凰名苑,4室2厅,140平米,2800
20180826,增城,凤凰城,合生湖山国际,2室2厅,90平米,2300
20180826,增城,凤凰城,合生湖山国际,3室2厅,89平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤凰岛,3室2厅,203平米,8000
20180826,增城,凤凰城,合生湖山国际,2室2厅,90平米,2200
20180826,增城,凤凰城,合生湖山国际,2室2厅,90平米,2200
20180826,增城,凤凰城,合生湖山国际,3室2厅,131平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤凰名苑,3室1厅,90平米,1800
20180826,增城,凤凰城,合生湖山国际,2室2厅,92平米,1800
20180826,增城,凤凰城,翡翠绿洲育才阳光苑,2室2厅,90平米,2500
20180826,增城,凤凰城,翡翠绿洲森林半岛,4室2厅,189平米,3200
20180826,增城,凤凰城,翡翠绿洲湖滨苑,2室2厅,94平米,2400
20180826,增城,凤凰城,翡翠绿洲湖滨苑,3室2厅,135平米,2799.9
20180826,增城,凤凰城,翡翠绿洲湖滨苑,2室0厅,68平米,3500
20180826,增城,凤凰城,翡翠绿洲森林半岛,3室2厅,147平米,2600
20180826,增城,凤凰城,翡翠绿洲湖翠苑,2室2厅,95平米,2200.2
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,91平米,2300
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,88平米,2000
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,86平米,2200
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,87平米,1900
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,90平米,2000
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室0厅,93平米,500.34
20180826,增城,凤凰城,翡翠绿洲森林半岛,3室2厅,102平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,124平米,3300
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,99平米,2600
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,100平米,2400
20180826,增城,凤凰城,碧桂园凤凰城凤仪苑,3室2厅,100平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,107平米,2400
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,4室2厅,134平米,4000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,100平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,96平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,97平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤锦苑,3室2厅,122平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,99平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,96平米,2400
20180826,增城,凤凰城,合生湖山国际,4室3厅,292平米,4500
20180826,增城,凤凰城,翡翠绿洲克拉邻里,2室2厅,88平米,2200
20180826,增城,凤凰城,合生湖山国际,3室2厅,90平米,1800
20180826,增城,凤凰城,合生湖山国际,3室2厅,131平米,3000
20180826,增城,凤凰城,合生湖山国际,2室2厅,89平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤仪苑,3室2厅,99平米,2000
20180826,增城,凤凰城,合生湖山国际,3室2厅,92平米,2500
20180826,增城,凤凰城,东凌广场,1室1厅,53平米,1600
20180826,增城,凤凰城,合生湖山国际,2室2厅,92平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,93平米,2800
20180826,增城,凤凰城,合生湖山国际,2室2厅,89平米,1800
20180826,增城,凤凰城,合生湖山国际,3室2厅,92平米,2300
20180826,增城,凤凰城,合生湖山国际,2室2厅,90平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,3000
20180826,增城,凤凰城,东凌广场,1室1厅,40平米,1500
20180826,增城,凤凰城,东凌广场,1室1厅,50平米,1600
20180826,增城,凤凰城,越秀保利爱特城,3室2厅,100平米,3100
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,1室1厅,52平米,1500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,93平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤凰岛,2室2厅,105平米,3300
20180826,增城,凤凰城,东凌广场,2室1厅,78平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤凰名苑,4室2厅,140平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤凰岛,2室2厅,105平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,2室2厅,80平米,2500
20180826,增城,凤凰城,合生湖山国际,3室2厅,89平米,2500
20180826,增城,凤凰城,合生湖山国际,3室2厅,89平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤凰岛,3室2厅,203平米,8000
20180826,增城,凤凰城,合生湖山国际,2室2厅,90平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤凰名苑,3室1厅,90平米,1800
20180826,增城,凤凰城,合生湖山国际,2室2厅,90平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,2室2厅,80平米,2200
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,87平米,2500
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,87平米,2000
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,87平米,800.31
20180826,增城,凤凰城,翡翠绿洲育才阳光苑,3室2厅,95平米,2200
20180826,增城,凤凰城,翡翠绿洲育才阳光苑,2室2厅,91平米,2300
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,94平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,100平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤林苑,4室2厅,200平米,5500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,4室2厅,140平米,3600
20180826,增城,凤凰城,碧桂园凤凰城凤凰名苑,4室2厅,140平米,2800
20180826,增城,凤凰城,合生湖山国际,2室2厅,90平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤凰岛,2室2厅,105平米,3500
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,2室2厅,80平米,2500
20180826,增城,凤凰城,合生湖山国际,3室2厅,89平米,2500
20180826,增城,凤凰城,合生湖山国际,3室2厅,89平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤凰岛,3室2厅,203平米,8000
20180826,增城,凤凰城,碧桂园凤凰城凤凰岛,2室2厅,105平米,3300
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,74平米,1800
20180826,增城,凤凰城,碧桂园凤凰城凤仪苑,3室2厅,94平米,2800
20180826,增城,凤凰城,碧桂园凤凰城凤仪苑,3室2厅,136平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤雅苑,4室2厅,210平米,10000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,97平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,2室2厅,98平米,2200
20180826,增城,凤凰城,碧桂园凤凰城凤妍苑,3室2厅,95平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,95平米,2100
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2300
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,100平米,2500
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2000
20180826,增城,凤凰城,碧桂园凤凰城凤馨苑,3室2厅,93平米,2300
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,86平米,2200
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,87平米,1900
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,87平米,2500
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,94平米,2300
20180826,增城,凤凰城,翡翠绿洲育才阳光苑,3室2厅,95平米,2200
20180826,增城,凤凰城,翡翠绿洲育才阳光苑,2室2厅,91平米,2300
20180826,增城,凤凰城,翡翠绿洲森林半岛,4室2厅,189平米,3200
20180826,增城,凤凰城,翡翠绿洲湖滨苑,2室2厅,94平米,2400
20180826,增城,凤凰城,翡翠绿洲湖滨苑,3室2厅,135平米,2799.9
20180826,增城,凤凰城,翡翠绿洲湖滨苑,2室0厅,68平米,3500
20180826,增城,凤凰城,翡翠绿洲森林半岛,3室2厅,147平米,2600
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室2厅,90平米,2000
20180826,增城,凤凰城,翡翠绿洲森林半岛,2室0厅,93平米,500.34
20180826,增城,凤凰城,翡翠绿洲森林半岛,3室2厅,102平米,2300
20180826,增城,凤凰城,翡翠绿洲湖翠苑,2室2厅,95平米,2200.2
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,4室2厅,140平米,4000
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,1室1厅,42平米,1700
20180826,增城,凤凰城,碧桂园凤凰城凤晴苑,2室2厅,80平米,1700
